#{"t_start": 1762689758.0443141, "env_id": "None"}
r,l,t
-176.50078,500,221.283864
-218.20006,500,221.283876
-172.60075,500,227.861152
-183.10066,500,227.861221
-158.60085,500,227.861237
-373.2997,500,227.861247
-176.40068,500,227.861256
-163.6009,500,227.861264
-163.20082,500,227.861275
-165.10072,500,234.259233
-173.30043,500,234.259293
-171.00078,500,234.259309
-156.70088,500,234.259318
-164.50069,500,234.259326
-174.40068,500,234.259334
-834.0,500,234.259343
-196.30049,500,238.452921
-179.60066,500,238.452979
-142.70107,500,238.452994
-187.5005,500,238.453003
-129.10118,500,238.453011
-149.00093,500,238.453018
-396.69974,500,238.453025
-235.99977,500,245.046838
-155.70097,500,245.046897
-467.09985,500,245.046911
-293.89948,500,245.046923
-483.19974,500,245.046937
-174.10094,500,245.046947
-162.00087,500,245.046957
-171.20073,500,251.666597
-154.10085,500,251.666652
-363.1997,500,251.666665
-267.09937,500,251.666674
-490.0998,500,251.666681
-148.6009,500,251.666689
-439.89984,500,251.666695
-172.8008,500,255.834688
-172.80092,500,255.83478
-183.7004,500,255.834798
-155.80125,500,255.834807
-215.80003,500,255.834814
-420.49982,500,255.834825
-348.09964,500,255.834832
-412.9997,500,262.476634
-131.50136,500,262.47669
-167.90065,500,262.476707
-178.2006,500,262.476716
-224.99968,500,262.476723
-289.59952,500,262.47673
-135.00111,500,262.476737
-182.20067,500,269.090041
-142.90129,500,269.090097
-177.30077,500,269.090115
-123.10158,500,269.090124
-150.70103,500,269.090135
-146.50111,500,269.090143
-261.49945,500,269.09015
-161.20097,500,275.697523
-202.80019,500,275.697584
-178.20055,500,275.697598
-151.1009,500,275.69761
-135.70134,500,275.697621
-182.60063,500,275.697635
-186.60057,500,275.697642
-167.70088,500,279.90424
-205.1003,500,279.904296
-174.80061,500,279.904309
-132.50124,500,279.904317
-169.00081,500,279.904325
-168.00087,500,279.904334
-325.89957,500,279.904343
-185.60057,500,286.504797
-173.70067,500,286.504869
-141.20113,500,286.504888
-160.00096,500,286.504896
-216.50014,500,286.504907
-131.80135,500,286.504914
-120.30162,500,286.504921
-119.20152,500,293.066465
-208.30022,500,293.066518
-155.80098,500,293.066534
-150.00111,500,293.066543
-148.20107,500,293.066553
-152.00102,500,293.06656
-158.00087,500,293.066567
-137.90132,500,297.258678
-141.40117,500,297.258723
-124.80156,500,297.258735
-151.30104,500,297.258743
-133.6014,500,297.25875
-146.40117,500,297.258757
-132.50133,500,297.258764
-161.20082,500,303.849042
-186.80052,500,303.849095
-225.99998,500,303.84911
-181.00056,500,303.849119
-134.10115,500,303.849125
-147.10112,500,303.849137
-150.70103,500,303.849143
-113.00154,500,310.460636
-127.20146,500,310.460687
-137.10133,500,310.460699
-153.6009,500,310.460708
-150.0012,500,310.460715
-130.0013,500,310.460721
-129.60127,500,310.460727
-199.00044,500,316.995024
-185.80058,500,316.995082
-300.29953,500,316.995096
-256.9995,500,316.995105
-134.50133,500,316.995117
-175.30122,500,316.995125
-140.70122,500,316.995131
-348.69962,500,321.265289
-517.40015,500,321.265348
-353.69968,500,321.265366
-109.10152,500,321.26538
-670.4993,500,321.265388
-198.90044,500,321.265396
-130.40114,500,321.265407
-556.99963,500,328.303727
-121.10164,500,328.303795
-117.901505,500,328.303809
-195.10039,500,328.30382
-441.3002,500,328.303831
-342.49963,500,328.303838
-364.29965,500,328.303845
-335.69913,500,335.033634
-334.29926,500,335.033767
-177.40074,500,335.03378
-340.1988,500,335.033794
-137.70125,500,335.033806
-352.19894,500,335.033813
-147.8011,500,335.033821
-170.00081,500,339.177184
-325.8996,500,339.177245
-167.40086,500,339.177262
-188.00063,500,339.177274
-770.7,500,339.177284
-191.70042,500,339.177291
-234.39922,500,339.177298
-220.49992,500,345.602207
-189.80022,500,345.602262
-188.20045,500,345.602277
-169.20073,500,345.602289
-201.00035,500,345.602297
-157.20103,500,345.602305
-732.7,500,345.602312
-152.701,500,351.913876
-150.30113,500,351.913934
-243.99974,500,351.913949
-181.2007,500,351.913958
-170.00084,500,351.913966
-197.30037,500,351.913974
-183.30049,500,351.913981
-162.3007,500,358.363934
-138.80138,500,358.363988
-168.30092,500,358.364001
-137.40129,500,358.36401
-167.90065,500,358.364018
-163.80077,500,358.364025
-157.80101,500,358.364032
-187.9004,500,362.41355
-182.50063,500,362.413602
-172.10057,500,362.413615
-129.1014,500,362.413624
-171.0009,500,362.413632
-148.80098,500,362.413643
-159.50133,500,362.413653
-152.60109,500,368.803362
-245.39964,500,368.803411
-203.6999,500,368.803424
-168.60078,500,368.803433
-130.30138,500,368.803441
-245.79924,500,368.803451
-195.3004,500,368.803461
-220.19997,500,375.30626
-144.00117,500,375.306319
-118.10164,500,375.306334
-170.40083,500,375.306343
-107.601944,500,375.306351
-85.1021,500,375.306359
-148.10115,500,375.306367
-90.90224,500,379.584302
-161.30107,500,379.584361
-141.60124,500,379.584381
-162.1009,500,379.58439
-174.4008,500,379.584401
-93.30199,500,379.584409
-153.60103,500,379.584416
-151.50102,500,386.188779
-70.902084,500,386.188834
-151.60106,500,386.188846
-91.30202,500,386.188855
-155.10115,500,386.188863
-118.20152,500,386.18887
-151.3011,500,386.188877
-66.50206,500,392.80687
-71.20207,500,392.806936
-76.20213,500,392.80695
-132.30144,500,392.806959
-78.40196,500,392.806967
-153.70107,500,392.806977
-163.8008,500,392.806986
-147.20116,500,399.415656
-123.50157,500,399.415742
-137.80116,500,399.415755
-99.70213,500,399.415766
-93.80211,500,399.415777
-141.40123,500,399.415784
-85.402115,500,399.415791
-158.00099,500,403.60646
-87.902054,500,403.606513
-183.10066,500,403.60653
-174.10075,500,403.606542
-133.5012,500,403.60655
-78.7021,500,403.606557
-84.20207,500,403.606564
-68.30202,500,410.186438
-85.50218,500,410.186498
-127.70137,500,410.186511
-121.901505,500,410.18652
-139.30125,500,410.186529
-157.40102,500,410.186539
-81.70216,500,410.186547
-123.00163,500,416.764748
-522.9995,500,416.764824
-120.8015,500,416.76484
-589.8995,500,416.764854
-501.8996,500,416.764861
-166.80092,500,416.764867
-148.9012,500,416.764873
-69.80211,500,420.975763
-213.80016,500,420.975816
-137.90135,500,420.97583
-80.50224,500,420.975838
-235.80048,500,420.975849
-157.60094,500,420.975855
-152.701,500,420.975861
-138.3012,500,427.588733
-125.20149,500,427.588788
-145.90108,500,427.588804
-128.8015,500,427.588812
-72.502304,500,427.588818
-368.49966,500,427.588825
-153.90108,500,427.588831
-144.30128,500,434.239315
-118.00194,500,434.23937
-639.5998,500,434.239383
-133.40126,500,434.239391
-135.6014,500,434.239399
-124.401505,500,434.239408
-131.50124,500,434.239416
-139.5012,500,438.544554
-159.70195,500,438.544617
-128.40141,500,438.544638
-128.50142,500,438.544647
-159.50203,500,438.544655
-188.60182,500,438.544662
-144.80168,500,438.544669
-103.201675,500,445.167837
-125.00133,500,445.167893
-148.60112,500,445.167907
-147.9016,500,445.167915
-236.80032,500,445.167923
-122.602005,500,445.16793
-143.70122,500,445.167939
-147.7014,500,451.687663
-161.50105,500,451.687711
-151.7011,500,451.68773
-194.1014,500,451.687745
-123.60152,500,451.687758
-306.19934,500,451.687769
-443.7997,500,451.687779
-145.80104,500,458.063962
-86.10231,500,458.064018
-133.6013,500,458.064036
-143.90108,500,458.064048
-121.20213,500,458.064059
-384.8996,500,458.064069
-405.0997,500,458.064078
-146.10124,500,462.265288
-142.40126,500,462.265349
-107.902054,500,462.265366
-149.8011,500,462.265375
-146.20116,500,462.265383
-107.30229,500,462.26539
-118.10149,500,462.265398
-191.20052,500,468.83696
-135.90193,500,468.837019
-196.90038,500,468.837037
-152.20119,500,468.837046
-146.0016,500,468.837054
-129.80177,500,468.837062
-124.201584,500,468.837069
-81.60225,500,475.397991
-91.20201,500,475.398047
-123.90132,500,475.398063
-157.80095,500,475.398074
-178.10072,500,475.398084
-78.00209,500,475.398092
-105.00151,500,475.3981
-128.50145,500,479.598425
-68.202194,500,479.598481
-142.10127,500,479.598494
-828.001,500,479.598503
-91.90199,500,479.598511
-99.10213,500,479.598519
-86.20198,500,479.59853
-72.30217,500,486.211348
-104.90169,500,486.211404
-115.801834,500,486.21142
-62.90209,500,486.211429
-95.001816,500,486.211437
-89.60222,500,486.211447
-103.001724,500,486.211455
-105.70183,500,492.861831
-73.702225,500,492.861895
-116.60155,500,492.861914
-105.90178,500,492.861923
-129.80144,500,492.86193
-107.90163,500,492.861939
-93.601944,500,492.861948
-67.4023,500,499.484288
-746.40094,500,499.484343
-85.70198,500,499.48436
-71.00218,500,499.484369
-71.30199,500,499.484377
-89.30205,500,499.484384
-99.30165,500,499.484391
-84.40202,500,503.722419
-74.50221,500,503.722477
-396.79968,500,503.722494
-1125.7,500,503.722503
-103.10173,500,503.722511
-91.10182,500,503.722519
-466.89978,500,503.722525
-83.90199,500,510.323679
-101.20183,500,510.323739
-69.002304,500,510.323752
-783.1998,500,510.323764
-76.30208,500,510.323772
-66.10225,500,510.32378
-59.802204,500,510.323787
-82.90202,500,516.921893
-67.202194,500,516.921966
-70.801956,500,516.921979
-74.00206,500,516.921991
-50.80251,500,516.922001
-617.89954,500,516.922009
-114.101395,500,516.922016
-105.80177,500,521.227911
-92.801895,500,521.227968
-95.70189,500,521.227981
-107.30162,500,521.22799
-674.19977,500,521.227998
-92.1021,500,521.228009
-545.29956,500,521.228018
-85.402115,500,527.803851
-621.79956,500,527.803909
-664.89966,500,527.80393
-238.49986,500,527.803939
-82.00191,500,527.803951
-186.7006,500,527.803961
-91.102005,500,527.803971
-133.50111,500,534.433642
-89.80202,500,534.433701
-218.70015,500,534.433714
-732.4004,500,534.433726
-254.39958,500,534.433734
-119.30138,500,534.433746
-48.102222,500,534.433753
-706.2999,500,541.00478
-72.702255,500,541.004838
-117.00142,500,541.004852
-93.402084,500,541.004861
-110.701675,500,541.004869
-90.20201,500,541.004877
-130.20174,500,541.004884
-110.701675,500,545.193875
-848.5,500,545.193926
-340.69965,500,545.193951
-94.40193,500,545.19396
-87.801865,500,545.193967
-120.401566,500,545.193973
-57.902485,500,545.19398
-123.101944,500,551.807628
-327.79962,500,551.807949
-346.99966,500,551.807967
-118.10173,500,551.807976
-139.0019,500,551.807984
-393.89975,500,551.807991
-48.602283,500,551.807998
-199.60027,500,558.445029
-120.20195,500,558.445774
-146.40126,500,558.445795
-181.70067,500,558.445804
-166.10118,500,558.445812
-207.8001,500,558.445819
-159.40147,500,558.445826
-164.40086,500,562.626572
-160.50087,500,562.626622
-87.30171,500,562.626639
-646.8,500,562.626649
-72.902145,500,562.626656
-150.00105,500,562.626664
-69.20235,500,562.626671
-170.90074,500,569.230979
-77.502,500,569.231778
-179.80064,500,569.231801
-81.00215,500,569.231814
-69.10228,500,569.231823
-165.90086,500,569.231833
-147.7011,500,569.231841
-80.30205,500,575.815156
-153.00096,500,575.815214
-89.501724,500,575.815231
-123.701614,500,575.815242
-232.19981,500,575.81525
-158.6009,500,575.815257
-76.902145,500,575.815264
-67.7021,500,582.409391
-97.30199,500,582.409706
-208.80025,500,582.409733
-208.60008,500,582.409749
-238.8997,500,582.409758
-476.39978,500,582.409766
-110.001724,500,582.409773
-102.60188,500,586.578611
-95.50191,500,586.578671
-121.20149,500,586.578684
-205.20033,500,586.578693
-72.20216,500,586.578701
-94.0016,500,586.578708
-241.39973,500,586.578715
-97.10176,500,593.183163
-108.80165,500,593.183959
-75.80199,500,593.183983
-104.2018,500,593.183996
-95.902084,500,593.184006
-166.30083,500,593.184015
-66.80214,500,593.184022
-69.40224,500,599.77348
-75.902115,500,599.773811
-98.90181,500,599.773834
-196.20027,500,599.773848
-152.90092,500,599.773859
-180.7004,500,599.773867
-110.80147,500,599.773874
-205.40038,500,603.953967
-111.00215,500,603.954018
-137.50151,500,603.954034
-206.80028,500,603.954045
-134.90218,500,603.954055
-151.30135,500,603.954062
-187.00072,500,603.954073
-110.701706,500,610.806918
-188.70052,500,610.80767
-139.70122,500,610.807694
-133.40144,500,610.807708
-117.70137,500,610.807719
-143.10124,500,610.807729
-123.70155,500,610.807736
-81.60213,500,617.405422
-779.20087,500,617.406197
-97.00209,500,617.406217
-85.10185,500,617.406226
-847.8006,500,617.406233
-66.902145,500,617.406244
-86.80208,500,617.406251
-155.10081,500,624.034347
-125.40138,500,624.035128
-101.30159,500,624.035144
-120.00151,500,624.035153
-105.70183,500,624.03516
-129.90144,500,624.035168
-211.9004,500,624.035177
-137.70143,500,628.219297
-162.50093,500,628.219351
-119.701675,500,628.219371
-113.701675,500,628.21938
-139.30128,500,628.219388
-63.902424,500,628.219395
-133.3015,500,628.219402
-134.00124,500,637.064208
-121.30159,500,637.064366
-117.10161,500,637.06438
-188.60042,500,637.064389
-121.20134,500,637.064397
-104.501755,500,637.064404
-128.50142,500,637.064411
-152.80083,500,643.761678
-130.90117,500,643.761744
-220.60008,500,643.761757
-203.70024,500,643.761766
-182.70067,500,643.761774
-196.60027,500,643.761781
-199.40031,500,643.761788
-68.60222,500,647.971223
-116.00166,500,647.97128
-87.502,500,647.971293
-178.00069,500,647.971305
-131.40108,500,647.971319
-129.5013,500,647.971326
-111.90199,500,647.971334
-133.60133,500,654.578419
-94.90172,500,654.578478
-1022.0,500,654.578495
-157.40105,500,654.578504
-141.20164,500,654.578512
-117.901505,500,654.57852
-113.60176,500,654.578527
-186.60051,500,661.186611
-128.60149,500,661.186669
-195.50032,500,661.186687
-133.30107,500,661.186696
-941.20074,500,661.186703
-87.40199,500,661.186716
-224.59993,500,661.186723
-70.202255,500,667.764695
-161.30083,500,667.764752
-180.90062,500,667.764768
-144.10118,500,667.764783
-112.30162,500,667.764794
-123.40144,500,667.764802
-120.401505,500,667.764809
-106.30147,500,672.012483
-220.00017,500,672.012547
-174.90074,500,672.012564
-129.60136,500,672.012575
-145.0013,500,672.012589
-166.4008,500,672.012599
-184.6006,500,672.01261
-212.1003,500,678.691842
-113.10155,500,678.691916
-360.89963,500,678.691936
-135.10136,500,678.691946
-128.60167,500,678.691953
-132.00157,500,678.691959
-275.0994,500,678.691965
-166.80086,500,685.269772
-224.59984,500,685.269825
-190.40056,500,685.26984
-200.90028,500,685.269848
-412.69983,500,685.269855
-108.50157,500,685.269862
-142.60115,500,685.269869
